cluster_id,accident_count,center_latitude,center_longitude,deaths,injuries,avg_severity,predominant_hour,predominant_day,predominant_cause,radius_km,density_score,risk_category,heat_intensity
227,63,-22.15359233126984,-46.07495671587302,6,87,12.5002405002405,14,6,Velocidade Incompatível,17.3790253735157,0.20789984913125867,baixo,0.12175269492114069
228,18,-21.107876519444446,-41.254042845,1,26,12.916666666666666,18,6,Acessar a via sem observar a presença dos outros veículos,8.756460185942586,0.23173301733680104,baixo,0.13571014832795675
229,10,-22.270333556,-43.458237966,5,10,29.166666666666668,4,6,Condutor Dormindo,5.129390902741689,0.36615751077737013,medio,0.214433362453357
230,25,-30.0192318632,-52.910340154400004,1,31,11.666666666666668,0,2,Acessar a via sem observar a presença dos outros veículos,9.050669822696138,0.30151496469185535,baixo,0.17657665295903488
231,11,-7.480891430909091,-38.98181821090909,4,9,18.636363636363637,19,5,Ingestão de álcool pelo condutor,5.7368019098884995,0.32437951360154305,baixo,0.18996685242066666
232,29,-28.39765086137931,-53.896479272068966,1,44,8.007389162561577,7,5,Acessar a via sem observar a presença dos outros veículos,8.558884769317157,0.3905486762755673,baixo,0.22871759663670227
233,10,-18.428760029,-48.063605417000005,1,14,15.333333333333334,11,2,Velocidade Incompatível,2.500656813670822,1.378685752686692,baixo,0.8074017684015131
234,116,-9.994362352241378,-67.81438543956897,3,137,9.023227969348659,7,0,Ausência de reação do condutor,17.712636670980324,0.36856110503759887,baixo,0.21584098290090756
235,13,-25.883337046153848,-49.502020114615384,1,10,5.756410256410256,15,0,Acessar a via sem observar a presença dos outros veículos,5.394425484124054,0.43189618002456825,baixo,0.2529319961696451
236,189,-8.312283321269842,-35.99829601899471,21,183,12.567019400352732,17,1,Ausência de reação do condutor,27.09981869220227,0.2570029310577671,baixo,0.1505090051275586
237,25,-11.7588605252,-37.9397324376,5,34,11.876666666666665,3,4,Ausência de reação do condutor,11.426886700247437,0.19000752022817868,baixo,0.11127438398696567
238,75,-7.078368221600001,-41.45889435106667,5,79,13.173333333333334,11,6,Ausência de reação do condutor,14.279227820119694,0.36603873640150575,baixo,0.21436380444064324
239,14,-5.547104750714285,-49.07771434928571,1,14,7.598639455782313,19,6,Demais falhas mecânicas ou elétricas,7.972039463982091,0.21687466708087946,baixo,0.1270086307785211
240,23,-4.3821517821739135,-55.920195978260864,3,13,12.847826086956522,12,1,Ingestão de álcool pelo condutor,8.602407115208665,0.30666090890042036,baixo,0.1795902798468113
241,10,-15.73809018,-55.67000141999999,1,7,17.333333333333332,13,4,Reação tardia ou ineficiente do condutor,4.978130498953997,0.38787076508103413,baixo,0.22714932755879616
242,18,3.8291508805555554,-51.808560902222226,0,26,10.222222222222221,20,6,Acessar a via sem observar a presença dos outros veículos,6.145058319859182,0.4643754172353203,baixo,0.27195285970521893
243,12,-3.7908931283333334,-40.23547667083333,1,17,10.507936507936508,7,1,Velocidade Incompatível,6.8702913283361315,0.248957991842619,baixo,0.14579763552332844
244,15,-18.755086833333333,-46.65572701666667,4,21,15.566666666666666,18,6,Reação tardia ou ineficiente do condutor,6.006499206730471,0.4045522078555527,baixo,0.2369185054656456
245,23,-17.731593237391305,-39.77335114130435,5,34,15.434782608695652,12,4,Reação tardia ou ineficiente do condutor,9.370141368159345,0.25901032372181226,baixo,0.15168459745065893
246,21,-17.91502944952381,-51.72847623142857,6,21,13.815192743764172,20,0,Reação tardia ou ineficiente do condutor,8.876628450048718,0.263175925782872,baixo,0.15412410512236907
247,58,-22.229822576724136,-44.914573016724134,0,68,7.962643678160919,19,6,Velocidade Incompatível,17.72407202280478,0.18404359247392274,baixo,0.10778172019028727
248,10,-18.579407009,-41.917588787,2,8,13.333333333333332,16,6,Ingestão de álcool pelo condutor,3.9889268272324934,0.5913123013133172,baixo,0.3462910941290016
249,16,-27.862027376875,-53.333012684375,1,16,7.479166666666666,9,0,Transitar na contramão,6.715534459271664,0.34708360665839183,baixo,0.20326308388481962
250,33,-6.892234953636363,-38.57286410939394,3,38,18.71212121212121,18,4,Animais na Pista,8.76437636077793,0.42408661353274346,baixo,0.24835846824012175
251,18,-22.032698299444444,-42.77981579611111,2,25,11.5,17,4,Velocidade Incompatível,7.502431900245418,0.31421023969138434,baixo,0.1840114055594649
252,21,-25.452115645714283,-51.958374508571424,2,17,10.492063492063492,20,4,Acessar a via sem observar a presença dos outros veículos,6.5233734216916845,0.48215564018418194,baixo,0.28236551786427255
253,12,-4.373773329166666,-44.33869295583333,3,17,23.273809523809522,15,1,Ausência de reação do condutor,4.861717155915175,0.48708625348110846,medio,0.2852530401930444
254,25,-16.5388058232,-39.565738247999995,5,30,16.239047619047618,7,0,Reação tardia ou ineficiente do condutor,9.51991124693752,0.27284024798768824,baixo,0.1597838363724851
255,19,-29.16001062526316,-54.877073998421054,0,22,5.5438596491228065,16,4,Acessar a via sem observar a presença dos outros veículos,7.096286908305143,0.3699572306573389,baixo,0.21665859800434362
256,22,-8.566423732272726,-35.45839460909091,4,20,20.454545454545453,8,6,Ausência de reação do condutor,8.427588880188496,0.3054526590187054,medio,0.1788826906886101
257,24,-5.489436831666667,-45.25460402416667,3,23,15.798611111111112,7,5,Ausência de reação do condutor,7.318876137797687,0.43983474886205803,baixo,0.25758107193290425
258,37,-12.981218072972974,-39.27723029810811,3,40,14.369369369369368,17,4,Acessar a via sem observar a presença dos outros veículos,9.38316075236118,0.4155262823710997,baixo,0.24334526889099897
259,12,-14.469436895000001,-40.34798432416667,2,14,12.291666666666666,4,4,Condutor Dormindo,6.28042487573165,0.2967084894463535,baixo,0.1737618297801968
260,35,-28.234566581714283,-52.38842602342857,0,39,5.747619047619048,15,3,Acessar a via sem observar a presença dos outros veículos,8.030380650957039,0.5344571111620235,baixo,0.3129949053626332
261,20,-10.731558124,-62.2199716395,3,19,11.829761904761906,9,6,Acessar a via sem observar a presença dos outros veículos,6.726040420296809,0.43252950855605116,baixo,0.2533028932905459
262,11,-27.453892356363635,-50.39247034636364,2,13,11.590909090909092,20,5,Reação tardia ou ineficiente do condutor,4.605718188172768,0.4952135354332238,baixo,0.29001263229563057
263,12,-4.9369753325,-38.00017700916667,1,22,12.708333333333334,18,2,Ingestão de álcool pelo condutor,4.959211955433739,0.4688638603116141,baixo,0.27458143323628426
264,29,-11.663656352413794,-61.190857221034484,1,33,11.082101806239738,6,6,Acessar a via sem observar a presença dos outros veículos,7.126279470560376,0.5600200623939825,baixo,0.32796537415149557
265,20,-23.1139849945,-50.3490439225,4,40,15.663888888888888,11,4,Condutor desrespeitou a iluminação vermelha do semáforo,9.180945965803831,0.23449471460715676,baixo,0.13732748516887902
266,17,-19.69260905117647,-51.180580142352945,0,11,4.852941176470588,14,5,Ingestão de álcool pelo condutor,4.176392610687109,0.9217961567095618,baixo,0.5398328412277084
267,10,-15.146144962,-49.525384524,1,9,10.7,14,5,Reação tardia ou ineficiente do condutor,4.15057062913175,0.548629517918904,baixo,0.3212947128102055
268,13,-21.61646337923077,-42.81318042461539,1,21,12.76923076923077,16,5,Condutor Dormindo,5.008181702221604,0.4984302521515486,baixo,0.29189644284619365
269,8,-18.8903350575,-48.69175530125,0,9,3.3854166666666665,14,0,Ausência de reação do condutor,2.843506542229229,0.8805210570288398,baixo,0.515660843795936
